taxon	taxon_detail	n_present	p_present	n_occ
Adonis flammea	NA	3	0.020689655172413793	79
Aegilops crassa	NA	4	0.027586206896551724	170
Aizoanthemopsis hispanica	*Aizoon hispanicum*	7	0.04827586206896552	303
Ammi majus	NA	6	0.041379310344827586	461
Androsace maxima	NA	20	0.13793103448275862	130
Arnebia decumbens	NA	25	0.1724137931034483	240
Arnebia linearifolia	NA	14	0.09655172413793103	158
Atriplex prostrata	NA	4	0.027586206896551724	112
Avena sterilis	NA	3	0.020689655172413793	50001
Bassia arabica	NA	3	0.020689655172413793	230
Bolboschoenus glaucus	NA	7	0.04827586206896552	27
Bolboschoenus maritimus	*Scirpus maritimus*	33	0.22758620689655173	364
Brachypodium distachyon	NA	4	0.027586206896551724	1581
Bromus sterilis	NA	3	0.020689655172413793	385
Buglossoides arvensis	NA	25	0.1724137931034483	251
Buglossoides tenuiflora	NA	31	0.21379310344827587	159
Capparis spinosa	NA	5	0.034482758620689655	4031
Carex divisa	NA	10	0.06896551724137931	330
Cephalaria syriaca	NA	3	0.020689655172413793	144
Chenopodium album	NA	5	0.034482758620689655	357
Cicer reticulatum	*Cicer arietinum*	6	0.041379310344827586	193
Ficus carica	NA	10	0.06896551724137931	4265
Fumaria densiflora	NA	4	0.027586206896551724	194
Glaucium aleppicum	NA	3	0.020689655172413793	22
Gypsophila pilosa	NA	4	0.027586206896551724	79
Helianthemum ledifolium	NA	3	0.020689655172413793	668
Hordeum bulbosum	NA	6	0.041379310344827586	2036
Hordeum murinum	NA	4	0.027586206896551724	1342
Hordeum spontaneum	*Hordeum vulgare*	62	0.42758620689655175	6912
Lathyrus aphaca	NA	4	0.027586206896551724	2085
Lathyrus sativus	NA	4	0.027586206896551724	297
Vicia orientalis	*Lens culinaris*	17	0.11724137931034483	441
Linum bienne	*Linum usitatissimum*	11	0.07586206896551724	274
Lolium rigidum	NA	3	0.020689655172413793	1464
Lolium temulentum	NA	5	0.034482758620689655	148
Medicago radiata	NA	21	0.14482758620689656	883
Phalaris paradoxa	NA	3	0.020689655172413793	370
Pistacia atlantica	NA	7	0.04827586206896552	928
Lathyrus oleraceus	*Pisum elatius*, *Pisum sativum*	8	0.05517241379310345	2269
Poa bulbosa	NA	5	0.034482758620689655	1401
Polygonum corrigioloides	NA	6	0.041379310344827586	4
Polygonum arenarium arenarium	*Polygonum venantianum*	7	0.04827586206896552	5
Prosopis farcta	NA	7	0.04827586206896552	1205
Quercus ithaburensis	NA	3	0.020689655172413793	1431
Rumex pulcher	NA	7	0.04827586206896552	794
Salsola kali	NA	6	0.041379310344827586	369
Secale cereale	NA	4	0.027586206896551724	1153
Taeniatherum caput-medusae	NA	6	0.041379310344827586	235
Medicago astroites	*Trigonella astroites*	16	0.1103448275862069	130
Triticum aestivum compactum	NA	3	0.020689655172413793	209
Triticum turgidum dicoccum	*Triticum aestivum*, *Triticum dicoccoides*, *Triticum dicoccum*	64	0.4413793103448276	200
Triticum monococcum aegilopoides	*Triticum boeoticum*, *Triticum monococcum*	44	0.30344827586206896	3213
Triticum durum	NA	4	0.027586206896551724	219
Gypsophila vaccaria	*Vaccaria pyramidata*	11	0.07586206896551724	326
Verbena officinalis	NA	3	0.020689655172413793	1046
Vicia ervilia	NA	33	0.22758620689655173	858
Vicia faba	NA	8	0.05517241379310345	2578
Vicia narbonensis	NA	3	0.020689655172413793	1529
Vitis sylvestris	NA	4	0.027586206896551724	3
Triticum urartu	NA	NA	NA	2033
Aegilops speltoides	NA	NA	NA	1429
Aegilops tauschii	NA	NA	NA	1395
