gbifID,genus,species,lon,lat,basisOfRecord
2028492563,Fraxinus,Fraxinus angustifolia,35.573344,33.202809,HUMAN_OBSERVATION
1291152356,Fraxinus,Fraxinus angustifolia,35.813845,33.129532,HUMAN_OBSERVATION
921740300,Fraxinus,Fraxinus ornus,30.463413,36.982536,HUMAN_OBSERVATION
1257494408,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495515,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
665627483,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257494428,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495924,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257493903,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257494677,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
574689848,Fraxinus,Fraxinus ornus,35.811611,34.06575,LIVING_SPECIMEN
1257494644,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495129,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257493938,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495487,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495925,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257494924,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257495293,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257494367,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1257494572,Fraxinus,Fraxinus ornus,35.811667,34.065833,PRESERVED_SPECIMEN
1230748821,Fraxinus,NA,46.70139,39.81417,PRESERVED_SPECIMEN
1230748857,Fraxinus,Fraxinus excelsior,45.60472,39.65194,PRESERVED_SPECIMEN
1930211853,Fraxinus,Fraxinus excelsior,45.6047,30.5019,PRESERVED_SPECIMEN
1094185657,Fraxinus,Fraxinus angustifolia,35.63,33.07,PRESERVED_SPECIMEN
1230748774,Fraxinus,NA,45.24139,39.73472,PRESERVED_SPECIMEN
1230748812,Fraxinus,NA,45.24139,39.73472,PRESERVED_SPECIMEN
1230739687,Fraxinus,Fraxinus excelsior,46.19722,39.05083,PRESERVED_SPECIMEN
1936660581,Fraxinus,NA,46.188333,39.060556,PRESERVED_SPECIMEN
42676324,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48872069,Fraxinus,Fraxinus angustifolia,35.696077,32.93812,OBSERVATION
48663255,Fraxinus,Fraxinus angustifolia,35.665063,32.937336,OBSERVATION
42868569,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
48502551,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
48524877,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
42676295,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
1230739676,Fraxinus,Fraxinus excelsior,46.38333,39.33333,PRESERVED_SPECIMEN
42815597,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48566771,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
48544161,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
48909053,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
42532583,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
48720981,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48563165,Fraxinus,Fraxinus angustifolia,35.652739,33.248449,OBSERVATION
48524055,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
893471512,Fraxinus,Fraxinus angustifolia,45.366669,39.866669,PRESERVED_SPECIMEN
317819970,Fraxinus,NA,45.37,39.87,PRESERVED_SPECIMEN
43887128,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
48898206,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
48843871,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
43978820,Fraxinus,Fraxinus angustifolia,35.648447,33.248465,OBSERVATION
42298170,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48834430,Fraxinus,Fraxinus angustifolia,35.652739,33.248449,OBSERVATION
48524522,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48382851,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
48851656,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
42586220,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
48770050,Fraxinus,Fraxinus angustifolia,35.648437,33.246661,OBSERVATION
42586246,Fraxinus,Fraxinus angustifolia,35.652725,33.245744,OBSERVATION
48930185,Fraxinus,Fraxinus angustifolia,35.65272,33.244843,OBSERVATION
