gbifID,genus,species,lon,lat,basisOfRecord
1847542342,Triticum,Triticum dicoccoides,35.752449,33.301701,HUMAN_OBSERVATION
1562876472,Triticum,Triticum dicoccoides,35.698974,32.988568,HUMAN_OBSERVATION
1094184637,Triticum,Triticum dicoccoides,35.52,32.25,PRESERVED_SPECIMEN
1094184965,Triticum,Triticum dicoccoides,35.43,32.35,PRESERVED_SPECIMEN
1094181789,Triticum,Triticum dicoccoides,35.35,31.95,PRESERVED_SPECIMEN
1094184589,Triticum,Triticum dicoccoides,35.33,31.95,PRESERVED_SPECIMEN
1094187523,Triticum,Triticum dicoccoides,35.65,33.15,PRESERVED_SPECIMEN
1094186587,Triticum,Triticum dicoccoides,35.44,32.94,PRESERVED_SPECIMEN
1094186092,Triticum,Triticum dicoccoides,35.75,33.3,PRESERVED_SPECIMEN
1094184424,Triticum,Triticum dicoccoides,35.24,32.78,PRESERVED_SPECIMEN
1094184963,Triticum,Triticum dicoccoides,35.06,32.6,PRESERVED_SPECIMEN
1094184961,Triticum,Triticum dicoccoides,35.07,31.82,PRESERVED_SPECIMEN
1094187572,Triticum,Triticum dicoccoides,35.54,33.08,PRESERVED_SPECIMEN
1094187275,Triticum,Triticum dicoccoides,35.51,32.9,PRESERVED_SPECIMEN
1094180648,Triticum,Triticum dicoccoides,35.4,32.76,PRESERVED_SPECIMEN
1094181618,Triticum,Triticum dicoccoides,35.33,31.92,PRESERVED_SPECIMEN
1094181589,Triticum,Triticum dicoccoides,35.65,32.9,PRESERVED_SPECIMEN
1094187312,Triticum,Triticum dicoccoides,35.71,32.8,PRESERVED_SPECIMEN
1094180464,Triticum,Triticum dicoccoides,35.77,32.86,PRESERVED_SPECIMEN
1094180306,Triticum,Triticum dicoccoides,35.28,32.64,PRESERVED_SPECIMEN
1094184354,Triticum,Triticum dicoccoides,35.42,32.49,PRESERVED_SPECIMEN
1094180539,Triticum,Triticum dicoccoides,35.77,32.9,PRESERVED_SPECIMEN
1094181544,Triticum,Triticum dicoccoides,35.42,32.74,PRESERVED_SPECIMEN
1094186070,Triticum,Triticum dicoccoides,35.75,33.28,PRESERVED_SPECIMEN
1094186323,Triticum,Triticum dicoccoides,35.24,32.78,PRESERVED_SPECIMEN
1094181450,Triticum,Triticum dicoccoides,35.55,33.13,PRESERVED_SPECIMEN
1094183852,Triticum,Triticum dicoccoides,35.01,31.92,PRESERVED_SPECIMEN
86306829,Triticum,Triticum dicoccoides,35.516511,32.959436,OBSERVATION
86306516,Triticum,Triticum dicoccoides,35.307726,31.831684,OBSERVATION
86306533,Triticum,Triticum dicoccoides,35.703551,32.936287,OBSERVATION
86306542,Triticum,Triticum dicoccoides,35.748338,32.916263,OBSERVATION
86306534,Triticum,Triticum dicoccoides,35.744007,32.907266,OBSERVATION
86306539,Triticum,Triticum dicoccoides,35.743663,32.850462,OBSERVATION
86306604,Triticum,Triticum dicoccoides,35.703551,32.936287,OBSERVATION
86305659,Triticum,Triticum dicoccoides,35.682123,32.928256,OBSERVATION
86305662,Triticum,Triticum dicoccoides,35.407011,32.781127,OBSERVATION
86305666,Triticum,Triticum dicoccoides,35.703551,32.936287,OBSERVATION
86305667,Triticum,Triticum dicoccoides,35.743663,32.850462,OBSERVATION
86306496,Triticum,Triticum dicoccoides,35.341095,32.953439,OBSERVATION
86306477,Triticum,Triticum dicoccoides,35.048648,32.614377,OBSERVATION
