gbifID,genus,species,lon,lat,basisOfRecord
2235668383,Zilla,Zilla spinosa,35.355568,30.933922,HUMAN_OBSERVATION
2237496755,Zilla,Zilla spinosa,34.880552,29.681258,HUMAN_OBSERVATION
1802644576,Zilla,Zilla spinosa,35.057244,29.973301,HUMAN_OBSERVATION
1890730412,Zilla,Zilla spinosa,35.057974,29.973332,HUMAN_OBSERVATION
2028147352,Zilla,Zilla spinosa,34.976731,29.401056,HUMAN_OBSERVATION
1094186096,Zilla,Zilla spinosa,34.87,29.74,PRESERVED_SPECIMEN
1697855902,Zilla,Zilla spinosa,35.225,30.655556,PRESERVED_SPECIMEN
1094185202,Zilla,Zilla spinosa,34.85,29.87,PRESERVED_SPECIMEN
1697855892,Zilla,Zilla spinosa,34.902778,29.560833,PRESERVED_SPECIMEN
923884565,Zilla,Zilla spinosa,33.307457,26.503452,HUMAN_OBSERVATION
1697855917,Zilla,Zilla spinosa,34.95,29.683333,PRESERVED_SPECIMEN
1701555285,Zilla,Zilla spinosa,34.43944,28.44333,PRESERVED_SPECIMEN
1701555307,Zilla,Zilla spinosa,34.4425,28.44889,PRESERVED_SPECIMEN
1701555292,Zilla,Zilla spinosa,34.4425,28.44889,PRESERVED_SPECIMEN
1701555301,Zilla,Zilla spinosa,34.43944,28.44333,PRESERVED_SPECIMEN
43096656,Zilla,Zilla spinosa,34.909189,29.526789,OBSERVATION
48371368,Zilla,Zilla spinosa,34.944159,29.566557,OBSERVATION
48452925,Zilla,Zilla spinosa,35.039924,30.937837,OBSERVATION
48553775,Zilla,Zilla spinosa,34.844671,30.544176,OBSERVATION
48568424,Zilla,Zilla spinosa,35.10474,30.995629,OBSERVATION
48543767,Zilla,Zilla spinosa,34.937997,31.465292,OBSERVATION
42688842,Zilla,Zilla spinosa,34.991731,31.433826,OBSERVATION
48331739,Zilla,Zilla spinosa,34.866713,31.391169,OBSERVATION
48805334,Zilla,Zilla spinosa,35.01356,29.974434,OBSERVATION
86484416,Zilla,Zilla spinosa,35.102545,30.094511,OBSERVATION
48638951,Zilla,Zilla spinosa,35.01356,29.974434,OBSERVATION
42523861,Zilla,Zilla spinosa,35.134709,30.088217,OBSERVATION
48560432,Zilla,Zilla spinosa,35.134709,30.088217,OBSERVATION
48632098,Zilla,Zilla spinosa,35.022874,29.980762,OBSERVATION
48885319,Zilla,Zilla spinosa,35.022874,29.980762,OBSERVATION
48334153,Zilla,Zilla spinosa,35.102545,30.094511,OBSERVATION
48446529,Zilla,Zilla spinosa,34.917104,31.415643,OBSERVATION
42357745,Zilla,Zilla spinosa,34.941181,31.455378,OBSERVATION
48520973,Zilla,Zilla spinosa,35.087087,30.007898,OBSERVATION
